id,kab_kota,desa,lat,long,pendidikan_sd,pendidikan_smp,pendidikan_sma,pendidikan_pt,kesehatan_rs,keseharan_posyandu,kesehatan_puskesmas,klb_gizi,klb_diare,klb_dbd,klb_covid,sosial_tawuran,sosial_bundir_lk,sosial_bundir_pr,pemukiman_nonlistrik,pemukiman_kumuh,pemukiman_bantaran_sungai,bencana_banjir,bencana_longsor,ekonomi_umkm,ekonomi_koperasi,ekonomi_pasar
3205272005,Garut,Jatimulya,7.63722277,107.712779,5,5,2,1,0,13,1,0,0,21,4,0,0,0,0,15,75,0,0,24,2,1
3205272008,Garut,Bojongkidul,7.61388829,107.732501,2,3,0,0,0,8,1,0,0,0,2,0,0,0,0,187,85,0,2,16,0,0
3205292001,Garut,Mekarsari,7.66453922,107.762957,3,4,0,1,0,12,1,0,0,0,5,0,0,0,0,0,120,0,0,13,2,1
3205292001,Garut,Karyasari,7.67573157,107.789796,1,1,1,0,0,8,1,0,0,0,5,0,0,0,0,0,22,0,0,12,0,1
3205292004,Garut,Karya Mukti,7.67911157,107.803972,2,3,0,1,0,9,1,9,0,0,8,0,0,0,0,0,87,0,0,23,1,2
3205292005,Garut,Sagara,7.65083195,107.872776,2,6,2,0,0,14,1,5,2,0,7,0,0,0,0,0,150,0,0,15,0,1
3205292002,Garut,Maroko,7.64785773,107.892739,3,5,3,1,0,8,1,0,0,0,4,0,0,0,0,0,0,0,0,5,0,2
3205292003,Garut,Sancang,7.70183514,107.882773,6,5,1,1,0,11,1,0,0,0,5,0,0,0,0,0,80,0,0,16,1,2
3205292007,Garut,Simpang,7.64065628,107.906906,1,4,2,1,0,8,1,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3
3205292009,Garut,Cigaronggong,7.6224141,107.801872,1,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
3205292008,Garut,Mekarmukti,7.63046723,107.836996,2,2,1,0,0,8,1,0,3,0,25,0,0,0,0,0,25,0,0,10,0,0
3205292010,Garut,Mekarwangi,7.67624882,107.87171,2,1,0,0,0,8,1,0,0,0,5,0,0,0,0,0,170,0,0,5,0,0
3205292011,Garut,Najaten,7.68144813,107.919922,2,4,1,0,0,7,1,0,5,5,5,0,0,0,0,0,70,0,0,18,0,0
3205282007,Garut,Depok,7.60097474,107.770372,1,4,1,0,0,9,1,0,0,0,14,0,0,0,0,0,0,0,0,35,0,0
3205282005,Garut,Sukanagara,7.58438688,107.772985,4,5,1,1,0,10,1,1,0,20,70,0,0,0,0,0,60,0,0,75,0,0
3205282002,Garut,Cihaurkuning,7.57355127,107.817189,1,4,3,3,0,10,1,0,0,0,11,0,0,0,0,0,3,0,0,52,0,0
3205282006,Garut,Cikondang,7.57194599,107.859318,0,7,3,1,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0
3205282009,Garut,Jatisari,7.54890136,107.838962,4,5,1,0,0,12,1,0,0,0,6,0,0,0,0,0,27,0,0,124,0,0
3205282001,Garut,Cisompet,7.55068945,107.810674,3,4,4,2,0,13,1,1,0,0,22,0,0,0,0,0,0,0,0,20,2,5
3205282004,Garut,Sukamukti,7.55925985,107.796538,2,4,1,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,31,0,0
3205282008,Garut,Panyindangan,7.57426472,107.758556,3,5,2,1,0,11,1,0,0,0,101,0,0,0,0,0,25,0,0,89,0,0
3205282003,Garut,Margamulya,7.50944277,107.771108,0,4,1,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,59,0,0
3205282011,Garut,Sindangsari,7.52823788,107.806402,0,4,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,1
3205282010,Garut,Neglasari,7.51412929,107.80972,3,5,2,0,0,8,0,1,0,0,10,0,0,0,0,0,0,0,0,24,1,2
3205262004,Garut,Pangrumasan,7.56709449,107.897394,7,5,2,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0
3205262002,Garut,Toblong,7.56073581,107.919685,10,9,3,1,0,13,1,0,0,0,16,0,0,0,0,0,0,0,0,16,0,2
3205262005,Garut,Sukanagara,7.56548475,107.924394,0,4,2,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,1,10,0,0
3205262003,Garut,Saribakti,7.53506476,107.930517,5,8,3,3,0,13,1,0,0,0,12,0,0,0,0,0,0,0,0,20,0,1
3205262001,Garut,Peundeuy,7.52809073,107.918963,10,5,3,2,0,13,2,0,0,0,14,0,0,0,0,0,0,0,1,29,1,3
3205262006,Garut,Purwajaya,7.53395445,107.886523,6,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
3205242001,Garut,Singajaya,7.48884618,107.91198,2,7,3,0,0,8,1,0,0,0,2,0,0,0,107,780,0,0,6,67,1,4
3205242007,Garut,Karangagung,7.50295924,107.916528,2,3,1,0,0,7,1,0,0,0,0,0,0,0,0,100,0,0,0,30,0,2
3205242003,Garut,Mekartani,7.49509338,107.929406,4,4,2,1,0,6,1,4,0,0,14,0,0,0,0,30,4,0,0,35,0,0
3205242008,Garut,Cigintung,7.48563563,107.915115,2,5,1,1,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,40,0,0
3205242005,Garut,Sukawangi,7.4708225,107.936336,1,5,3,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,1
3205242006,Garut,Pancasura,7.4637459,107.934128,6,5,2,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,25,0,1
3205242004,Garut,Sukamulya,7.45695915,107.917295,2,4,1,1,0,7,0,15,0,0,2,0,0,0,0,0,0,0,2,12,0,0
3205242009,Garut,Girimukti,7.47229846,107.893042,3,5,1,1,0,6,0,0,0,0,8,0,0,0,0,120,70,0,3,27,0,0
3205242002,Garut,Ciudian,7.45926005,107.901987,2,3,1,1,0,8,0,0,0,0,0,0,0,0,0,0,10,0,1,22,0,1
3205252002,Garut,Cisangkal,7.57426472,107.758556,2,2,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0
3205252004,Garut,Jayamukti,7.57426472,107.758556,0,4,1,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,0,70,0,0
3205252001,Garut,Cihurip,7.50280763,107.861543,2,4,1,2,0,8,1,1,0,0,6,0,0,0,0,0,0,0,1,127,1,2
3205252003,Garut,Mekarwangi,7.50104628,107.841112,1,5,1,1,0,8,1,0,0,0,9,0,0,0,0,0,0,0,0,115,0,2
3205222011,Garut,Cipangramatan,7.43752193,107.835052,2,4,4,4,0,6,1,0,0,0,5,0,0,0,0,0,25,0,0,119,0,0
