ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;Y
12598;123;34643;97;0.830007479;0.90662122;661;0.192640137;0;0;5.3;2.7;0
12599;22;32716;20;0.742182488;0.981374558;222;0.888888889;1;5314;6.3;4.3;0
12600;30;18841;22;0.743426646;0.969101486;10244;0.969014214;0;0;8;4.3;0
12601;1;1403;0;0;0;183;0;2647;38649;1.7;1;0
12602;5;8741;12;0.743327887;0.764195261;12106;0.850427608;37;60;11.3;3.7;0
12603;46;55820;44;0.7594476;1;689;0.238639149;0;0;12.7;10;0
12604;113;57789;114;0.828461285;0.995379398;1056;0.24745402;90;32187;3.3;1.3;1
12605;42;26271;25;0.738392727;0.735583364;3356;0.450909091;1;3251;4.7;3.7;0
12606;17;59454;28;0.698251914;0.460171879;20219;0.367738206;0;0;12.3;2.3;0
12607;546;45202;140;0.856011786;0.950971061;14250;0.363106704;0;0;11.3;8;0
12608;172;57638;35;0.916470485;0.581877386;878;0.504329004;4037;105054;7.7;4;1
12609;58;22914;20;0.846857361;1;6989;0.882778102;0;0;2.3;2;1
12610;0;342;0;1;1;0;0;443;18218;1.7;1.3;0
12611;1180;28545;32;0.807614426;1;1408;0.935143288;208;825;7.7;4.7;0
12612;2;4397;5;0.642094017;0.526175214;6583;0.31890403;1277;21196;9.7;5;0
12613;73;37015;41;0.776406664;1;153;0.325163399;130;210;2.7;2.3;1
12614;58;8420;10;0.379310345;1;16183;0.999359522;62;100;4.7;2;0
12615;5;5173;3;0.615705932;0.934837093;4675;0.808927203;298;28389;8;4;0
12616;6;10635;5;0.840530814;0.757984705;7814;0.854275464;2464;58851;1.7;1.3;0
12617;134;64722;102;0.754600963;0.987453699;12494;0.920212687;189;306;22.7;15;0
12618;104;8852;13;0.719100006;1;7869;0.939382577;174;13170;9.7;3.7;0
12619;162;42882;106;0.731471733;0.999178982;1289;0.971014493;143;53;7;4;1
12620;118;37689;105;0.901139807;0.992319532;10786;0.782259792;0;0;7;3.7;0
12621;17;43339;22;0.704100995;0.811900244;18611;0.943311453;99;160;10;4.3;1
12622;8;15956;15;0.714855073;0.801932367;21025;0.79305994;3294;5342;6;3.7;0
12623;144;34206;157;0.92624658;1;3042;0.991666667;0;0;7;5.7;0
12624;267;46469;101;0.807983894;1;8514;0.999166667;66;0;12.3;6;0
12625;6;7914;8;0.849121783;0.768792877;3856;0.567289584;2383;38506;4;3;0
12626;33;22788;38;0.596237507;0.974132863;5133;0.701835608;407;7427;3.7;2.7;1
12627;93;36419;22;0.700011106;0.804286746;1289;0.864197531;1425;57944;1.3;1;1
12628;5;15848;9;0.668258179;0.87688771;21053;0.785409145;0;0;11;3.3;0
12629;743;77805;131;0.807812509;0.994664072;21798;0.999126828;0;0;22.7;12.7;0
12630;22;13096;11;0.645791246;0.651178451;3107;0.23977889;3534;26217;4.3;2.3;1
12631;20;22507;12;0.66220996;1;10087;0.989250726;596;40009;10.7;4.3;0
12632;131;28260;53;0.827323841;0.998158379;2628;0.654462112;0;0;8.7;3.7;1
12633;76;12798;73;0.784601343;0.884156871;17500;0.382226212;2157;29093;6.7;4.3;0
12634;41;24838;15;0.716035354;1;479;1;0;0;7.7;4.3;0
12635;130;21132;63;0.85631913;0.770861614;21383;0.517888615;0;0;12;6.7;1
12636;152;1181;18;0.768103448;1;5304;1;2001;22210;2.7;1.7;0
12637;50;19351;42;0.801124665;0.995305164;31997;0.992126419;25;40;16;7.3;0
12638;13;25754;11;0.758374384;0.927686554;8203;0.825464509;12;20;4.7;2.3;0
12639;54;27723;23;0.731682147;1;1528;0.874269006;25;40;9;2;0
12640;0;0;0;0;0;0;0;407;37225;7.7;4;0
12641;3;6645;7;0.617948718;0.547435897;11386;0.028306169;9;5320;5.7;4.3;0
12642;56;23781;28;0.668825249;0.717686477;1754;0.580128205;14;1667;2;2.3;0
12643;63;48946;44;0.813874557;0.902193191;4819;0.478969861;282;6889;1.7;1.7;0
12644;1;4346;4;0.682621083;1;3172;0.9375;1335;93850;13.7;3.7;0
12645;31;35777;48;0.766152821;0.911464095;4072;0.842960323;20;33;10.3;5.7;0
12646;1;4775;2;0.814814815;0.537037037;2386;0.434065934;3806;115406;5;2.7;1
12647;17;21365;14;0.798608444;0.714530628;7467;0.17009661;0;0;8.7;5.7;0
12648;300;27742;39;0.759292089;0.99;4128;0.987179487;1;1410;5;3.7;0
12649;1036;67518;57;0.762669789;0.972380952;10450;0.744257637;414;25556;17.7;11;0
12650;52;22660;27;0.693935694;0.979141229;8968;0.971806759;0;0;5;2;0
12651;0;414;1;0.777777778;1;50;1;5797;53204;2.3;1.3;0
12652;0;128;0;1;1;0;0;3107;68833;4;3.3;0
12653;50;19633;30;0.832376945;1;10419;0.964235538;0;0;2;1;0
12654;47;55480;28;0.802480248;0.992831541;24094;1;0;0;9;2.3;0
12655;58;23878;66;0.766330592;0.707101846;20872;0.784883698;448;45945;4.7;2.3;0
12656;220;20532;35;0.720228495;0.98974359;1197;0.833333333;2;6563;1.7;1.7;0
12657;0;564;1;1;1;886;0.811965812;562;25702;3.7;2;0
12658;68;8046;22;0.833634356;0.843477099;7775;0.661169838;435;12222;3.3;1.3;0
12659;50;8238;9;0.542388759;0.922404372;1008;1;3399;36338;6;5;0
12660;452;18605;28;0.822526753;0.979639657;2358;0.83277027;151;107;5;3;0
12661;316;24816;42;0.643265718;1;3950;0.943262411;2;2922;14.3;4.7;0
12662;0;0;0;0;0;0;0;5925;55222;3.3;3.7;0
12663;111;33582;98;0.688620153;0.58670575;5622;0.748168015;0;0;2.3;1.7;0
12664;17;9550;9;0.682857143;0.87;1133;0.76984127;1881;66014;8.7;6.7;0
12665;11;17517;16;0.774971942;0.965207632;3650;0.954102564;0;0;6.7;4.3;0
12666;107;52931;59;0.717717237;0.990803063;6572;0.730288842;0;0;14;4.3;1
12667;53;35447;26;0.795296717;0.975716991;3789;0.76688932;0;0;2.7;1.3;1
12668;145;42143;39;0.644642348;0.942813717;511;0.694444444;1415;71624;3;2.3;0
12669;31;6364;13;0.828852902;0.978407557;22950;0.99449697;14;2350;10;7.7;0
12670;165;59594;116;0.775560148;0.970527451;9881;0.736120481;0;0;15.7;9.3;0
12671;33;9483;44;0.727998611;0.940512124;664;0.5625;1272;45832;2.3;2;0
12672;20;20346;42;0.713499764;0.994987469;169;1;68;110;6.3;3.7;0
12673;133;55472;135;0.679092309;0.856369085;183;1;0;0;2.7;2;0
12674;102;32278;48;0.756883643;1;217;1;0;0;5;3;0
12675;2;5091;2;0.666666667;0.966666667;604;1;1305;52193;3;2;1
12676;31;24822;31;0.751906469;0.623434729;7392;0.23986022;19;30;3.3;2.3;0
12677;14;14604;19;0.863314859;0.369013205;2121;0.584385522;1;3922;1.3;1;0
12678;135;28914;46;0.688505141;0.997777778;1075;0.92185008;1781;22667;12.3;5;1
12679;23;8220;10;0.595355191;0.410655738;12753;0.397702515;500;49771;10;5;0
12680;6;5635;12;0.531385281;1;2367;1;1;12382;6.7;3.3;0
12681;393;71193;115;0.712625923;0.939941955;22172;0.557355904;0;0;20;15;0
12682;3;9617;9;0.821266968;0.739064857;3575;0.81175421;1195;17313;2.7;2;1
12683;5;22616;9;0.660083271;0.848670866;2147;0.825573549;0;0;2.7;1.3;0
12684;122;40071;51;0.835387904;0.977054659;11114;0.936527926;1870;3032;13.3;8.3;0
12685;0;0;1;0;1;46;0.833333333;5111;160082;1.3;1;1
12686;25;14460;20;0.788460735;0.910630744;14586;0.832766963;1594;60711;8.7;3.3;1
12687;41;12357;11;0.926102293;1;100;1;639;27038;2.7;2;1
12688;275;50186;75;0.803307949;0.986874492;2369;0.768253968;0;0;10;6;0
12689;227;82291;57;0.807923766;0.995180268;28606;0.868115101;2;5365;17.7;5.7;1
12690;295;13960;37;0.799874687;1;10131;0.996096671;0;0;7;2.7;0
12691;95;11817;47;0.836433334;0.99726776;3094;0.991666667;2;3;4.3;3.3;0
